RUN,NOMBRES,APELLIDOS,CORREO,SEXO,FECHA DE NACIMIENTO,FACULTAD,CARRERA,PREFERENCIA,AÑO EGRESO,NES,PUNTAJE LENGUAJE,PUNTAJE MATEMÁTICA
19964495,LOUIS ÓSCAR,VERDUGO CASALS,louis.verdugo.c@usachi.cy,MASCULINO,8-12-1996,FACULTAD DE ADMINISTRACIÓN Y ECONOMÍA,ADMINISTRACIÓN PÚBLICA,2,2019,4.25,727,693
19224061,HELOÍSA TERRI,BUSQUETS SNYDER,heloísa.busquets.s@usachi.cy,FEMENINO,15-4-1996,FACULTAD DE ADMINISTRACIÓN Y ECONOMÍA,ADMINISTRACIÓN PÚBLICA,2,2017,6.42,834,701
18651742,PILAR CHRISTOPHER,LEE GARZA,pilar.lee.g@usachi.cy,MASCULINO,11-3-1998,FACULTAD DE ADMINISTRACIÓN Y ECONOMÍA,ADMINISTRACIÓN PÚBLICA,2,2018,6.05,633,569
18697566,ENRICO GIULIO,POLANCO BAKER,enrico.polanco.b@usachi.cy,MASCULINO,24-6-1998,FACULTAD DE ADMINISTRACIÓN Y ECONOMÍA,ADMINISTRACIÓN PÚBLICA,2,2017,4.92,624,562
19167270,DANIELA DANIELA,SEBASTIÁN VIEIRA,daniela.sebastián.v@usachi.cy,FEMENINO,3-11-1996,FACULTAD DE ADMINISTRACIÓN Y ECONOMÍA,ADMINISTRACIÓN PÚBLICA,3,2019,4.11,669,591
18583798,FELIPE ENZO,SANTANA CANNON,felipe.santana.c@usachi.cy,MASCULINO,8-10-1995,FACULTAD DE ADMINISTRACIÓN Y ECONOMÍA,ADMINISTRACIÓN PÚBLICA,3,2019,6.83,678,777
19257271,ESPERANZA ALFREDO,CARRERAS CARDOSO,esperanza.carreras.c@usachi.cy,MASCULINO,14-11-1999,FACULTAD DE ADMINISTRACIÓN Y ECONOMÍA,ADMINISTRACIÓN PÚBLICA,2,2017,5.23,562,594
19379566,LIVIA BERTA,WALLACE JONES,livia.wallace.j@usachi.cy,FEMENINO,10-12-1990,FACULTAD DE ADMINISTRACIÓN Y ECONOMÍA,ADMINISTRACIÓN PÚBLICA,2,2019,6.39,727,555
18569113,WHITNEY MATEO,RENTERÍA CLAVERO,whitney.rentería.c@usachi.cy,FEMENINO,17-7-1990,FACULTAD DE ADMINISTRACIÓN Y ECONOMÍA,ADMINISTRACIÓN PÚBLICA,1,2019,5.92,807,599
20068843,ALEJANDRO ARMANDO,REQUENA FALCONE,alejandro.requena.f@usachi.cy,MASCULINO,10-4-1998,FACULTAD DE ADMINISTRACIÓN Y ECONOMÍA,ADMINISTRACIÓN PÚBLICA,3,2019,5.13,711,821
18785880,FRANK MIRKO,LESTER CAZORLA,frank.lester.c@usachi.cy,MASCULINO,20-11-1994,FACULTAD DE ADMINISTRACIÓN Y ECONOMÍA,ADMINISTRACIÓN PÚBLICA,3,2019,4.04,789,789
20549166,DARLENE MARÍA JOSÉ,WOLFE NUÑEZ,darlene.wolfe.n@usachi.cy,FEMENINO,24-4-1993,FACULTAD DE ADMINISTRACIÓN Y ECONOMÍA,ADMINISTRACIÓN PÚBLICA,3,2019,5.31,582,761
20935597,THOMAS GRAZIANO,RAMOS ESPARZA,thomas.ramos.e@usachi.cy,MASCULINO,28-11-1998,FACULTAD DE ADMINISTRACIÓN Y ECONOMÍA,ADMINISTRACIÓN PÚBLICA,2,2018,4.18,750,661
20504004,LUCIANO CAUÃ,ACOSTA JENKINS,luciano.acosta.j@usachi.cy,MASCULINO,21-5-1998,FACULTAD DE ADMINISTRACIÓN Y ECONOMÍA,ADMINISTRACIÓN PÚBLICA,3,2018,4.82,707,606
20121509,RUBÉN MIGUEL,JOHNSON CAVALCANTI,rubén.johnson.c@usachi.cy,MASCULINO,12-3-1991,FACULTAD DE ADMINISTRACIÓN Y ECONOMÍA,ADMINISTRACIÓN PÚBLICA,3,2019,4.95,616,635
20815273,ORESTE ALEX,CAMPS GIANNINI,oreste.camps.g@usachi.cy,MASCULINO,17-1-2000,FACULTAD DE ADMINISTRACIÓN Y ECONOMÍA,ADMINISTRACIÓN PÚBLICA,2,2019,5.62,591,623
20227418,ANTONIA ESTEFANÍA,DA ROSA BRADLEY,antonia.da rosa.b@usachi.cy,MASCULINO,10-11-1992,FACULTAD DE ADMINISTRACIÓN Y ECONOMÍA,ADMINISTRACIÓN PÚBLICA,3,2019,6.35,850,804
18871606,TRAVIS MARCOS,SMITH CRISPI,travis.smith.c@usachi.cy,MASCULINO,1-9-1996,FACULTAD DE ADMINISTRACIÓN Y ECONOMÍA,ADMINISTRACIÓN PÚBLICA,3,2018,5.89,575,682
18690601,CIRILLO ANTHONY,ASENSIO MARTINEZ,cirillo.asensio.m@usachi.cy,MASCULINO,27-8-1993,FACULTAD DE ADMINISTRACIÓN Y ECONOMÍA,ADMINISTRACIÓN PÚBLICA,1,2019,6.97,655,751
20106758,VÍCTOR LAURA,MONTEVERDI CRUZ,víctor.monteverdi.c@usachi.cy,FEMENINO,31-12-1997,FACULTAD DE ADMINISTRACIÓN Y ECONOMÍA,ADMINISTRACIÓN PÚBLICA,2,2018,4.93,687,715
18062869,MARCELO DANIEL,MCBRIDE COOPER,marcelo.mcbride.c@usachi.cy,MASCULINO,5-2-1995,FACULTAD DE ADMINISTRACIÓN Y ECONOMÍA,ADMINISTRACIÓN PÚBLICA,3,2019,6.73,744,815
20231614,JORDI JASON,NGUYEN GONZALEZ,jordi.nguyen.g@usachi.cy,MASCULINO,7-3-1993,FACULTAD DE ADMINISTRACIÓN Y ECONOMÍA,ADMINISTRACIÓN PÚBLICA,1,2018,6.64,609,823
18908394,MAYSA MANUELA,WILLIAMS ORTEGA,maysa.williams.o@usachi.cy,FEMENINO,14-11-1994,FACULTAD DE ADMINISTRACIÓN Y ECONOMÍA,ADMINISTRACIÓN PÚBLICA,3,2017,5.17,734,604
19689812,SAMUEL IVAN,WALKER AGUAYO,samuel.walker.a@usachi.cy,MASCULINO,1-5-1999,FACULTAD DE ADMINISTRACIÓN Y ECONOMÍA,ADMINISTRACIÓN PÚBLICA,1,2018,4.83,630,777
18381045,INMACULADA BEATRICE,ALMEIDA DA ROCHA,inmaculada.almeida.d@usachi.cy,FEMENINO,21-5-1993,FACULTAD DE ADMINISTRACIÓN Y ECONOMÍA,ADMINISTRACIÓN PÚBLICA,1,2018,4.31,827,846
20869869,JEFFREY RAFAÉL,GONZALEZ VIEIRA,jeffrey.gonzalez.v@usachi.cy,MASCULINO,16-2-1993,FACULTAD DE ADMINISTRACIÓN Y ECONOMÍA,ADMINISTRACIÓN PÚBLICA,2,2019,6.18,844,749
18129524,PIERINA SHANNON,MARTINEZ REZENDE,pierina.martinez.r@usachi.cy,FEMENINO,25-3-1994,FACULTAD DE ADMINISTRACIÓN Y ECONOMÍA,ADMINISTRACIÓN PÚBLICA,3,2019,5.88,836,696
18726588,SAMUEL MIGUEL,WALTON BENAVENTE,samuel.walton.b@usachi.cy,MASCULINO,15-2-1991,FACULTAD DE ADMINISTRACIÓN Y ECONOMÍA,ADMINISTRACIÓN PÚBLICA,3,2019,4.42,801,605
20556673,OSVALDO FEDELE,CALDERON MICCA,osvaldo.calderon.m@usachi.cy,MASCULINO,30-11-1997,FACULTAD DE ADMINISTRACIÓN Y ECONOMÍA,ADMINISTRACIÓN PÚBLICA,3,2019,4.91,639,632
18784089,CHRISTINE MILENA,BRESCIANI EVANS,christine.bresciani.e@usachi.cy,FEMENINO,9-1-1997,FACULTAD DE ADMINISTRACIÓN Y ECONOMÍA,ADMINISTRACIÓN PÚBLICA,1,2019,5.16,594,766
19835056,GINA GLORIA,JOHNSON KELLY,gina.johnson.k@usachi.cy,FEMENINO,23-10-1996,FACULTAD DE ADMINISTRACIÓN Y ECONOMÍA,ADMINISTRACIÓN PÚBLICA,2,2019,6.7,647,594
20027583,KAYLA LOURDES,SIMÓ DOMINGUEZ,kayla.simó.d@usachi.cy,FEMENINO,3-5-1990,FACULTAD DE ADMINISTRACIÓN Y ECONOMÍA,ADMINISTRACIÓN PÚBLICA,1,2017,5.75,818,743
19512313,KAREN MANUEL,ARRIAGA CAGNOTTO,karen.arriaga.c@usachi.cy,FEMENINO,9-9-1997,FACULTAD DE ADMINISTRACIÓN Y ECONOMÍA,ADMINISTRACIÓN PÚBLICA,1,2018,5.24,801,593
18004621,JOÃO FELIPE VICENTE,SMITH ORDÓÑEZ,joão felipe.smith.o@usachi.cy,MASCULINO,19-7-1998,FACULTAD DE ADMINISTRACIÓN Y ECONOMÍA,ADMINISTRACIÓN PÚBLICA,2,2019,5.63,793,669
20227404,MICHAEL MARTIN,ANTÚNEZ PEDRAZZINI,michael.antúnez.p@usachi.cy,MASCULINO,15-1-1995,FACULTAD DE ADMINISTRACIÓN Y ECONOMÍA,ADMINISTRACIÓN PÚBLICA,1,2018,4.47,713,663
20201881,JORDI MURILO,VILLAGÓMEZ DUARTE,jordi.villagómez.d@usachi.cy,MASCULINO,23-5-1997,FACULTAD DE ADMINISTRACIÓN Y ECONOMÍA,ADMINISTRACIÓN PÚBLICA,3,2018,4.96,795,713
19759873,DANIEL LIBERTO,FOÀ COX,daniel.foà.c@usachi.cy,MASCULINO,6-12-1993,FACULTAD DE ADMINISTRACIÓN Y ECONOMÍA,ADMINISTRACIÓN PÚBLICA,1,2019,5.4,550,747
18330842,ELIZABETH OFELIA,FREITAS GALLO,elizabeth.freitas.g@usachi.cy,FEMENINO,24-9-1997,FACULTAD DE ADMINISTRACIÓN Y ECONOMÍA,ADMINISTRACIÓN PÚBLICA,2,2019,6.57,801,773
19476401,SHANE VINCENZO,GUAL BARROS,shane.gual.b@usachi.cy,MASCULINO,13-4-1993,FACULTAD DE ADMINISTRACIÓN Y ECONOMÍA,ADMINISTRACIÓN PÚBLICA,3,2019,5.28,615,567
19380361,CHRISTINA CYNTHIA,MATOS MONTENEGRO,christina.matos.m@usachi.cy,FEMENINO,20-5-1995,FACULTAD DE ADMINISTRACIÓN Y ECONOMÍA,ADMINISTRACIÓN PÚBLICA,1,2019,4.1,713,651
19177131,NOAH FRANCISCO,COOPER VELA,noah.cooper.v@usachi.cy,MASCULINO,25-10-1993,FACULTAD DE ADMINISTRACIÓN Y ECONOMÍA,ADMINISTRACIÓN PÚBLICA,2,2018,6.58,607,810
19315300,GIANMARCO RUGGERO,ONISTO MORCILLO,gianmarco.onisto.m@usachi.cy,MASCULINO,6-2-1993,FACULTAD DE ADMINISTRACIÓN Y ECONOMÍA,ADMINISTRACIÓN PÚBLICA,1,2019,5.11,642,688
18838968,JENNIFER DOLORES,RODRÍQUEZ JONES,jennifer.rodríquez.j@usachi.cy,FEMENINO,13-12-1994,FACULTAD DE ADMINISTRACIÓN Y ECONOMÍA,ADMINISTRACIÓN PÚBLICA,1,2018,5.3,793,613
19300611,ERMES CIPRIANO,DAVIS T,ermes.davis.t@usachi.cy,MASCULINO,3-11-1998,FACULTAD DE ADMINISTRACIÓN Y ECONOMÍA,ADMINISTRACIÓN PÚBLICA,3,2019,6.25,801,794
20026629,IVAN VIRGINIA,SEXTON CASARES,ivan.sexton.c@usachi.cy,MASCULINO,19-10-1992,FACULTAD DE ADMINISTRACIÓN Y ECONOMÍA,ADMINISTRACIÓN PÚBLICA,2,2018,4.77,585,611
19379442,JULIO CARLOS EDUARDO,SCARPONI BARRERA,julio.scarponi.b@usachi.cy,MASCULINO,31-7-1991,FACULTAD DE ADMINISTRACIÓN Y ECONOMÍA,ADMINISTRACIÓN PÚBLICA,2,2018,4.93,587,811
19245612,RAFFAELLA MILENA,HERRERA HINOJOSA,raffaella.herrera.h@usachi.cy,FEMENINO,18-7-1997,FACULTAD DE ADMINISTRACIÓN Y ECONOMÍA,ADMINISTRACIÓN PÚBLICA,3,2018,5.51,832,739
19651539,LUIZ FERNANDO FELIPE,WALKER BOYD,luiz fernando.walker.b@usachi.cy,MASCULINO,20-11-1999,FACULTAD DE ADMINISTRACIÓN Y ECONOMÍA,ADMINISTRACIÓN PÚBLICA,2,2018,4.11,796,641
20608883,CHRISTINA LAUREN,LLOBET BYRD,christina.llobet.b@usachi.cy,FEMENINO,25-2-1996,FACULTAD DE ADMINISTRACIÓN Y ECONOMÍA,ADMINISTRACIÓN PÚBLICA,1,2019,6.18,724,796
19814383,FRANCISCA ROSSANA,BARBOSA SIBILIA,francisca.barbosa.s@usachi.cy,FEMENINO,19-10-1994,FACULTAD DE ADMINISTRACIÓN Y ECONOMÍA,ADMINISTRACIÓN PÚBLICA,1,2019,6.09,817,786
18174592,ALBA MARÍA,BELLOCCHIO ANDERSON,alba.bellocchio.a@usachi.cy,FEMENINO,12-11-1993,FACULTAD DE ADMINISTRACIÓN Y ECONOMÍA,ADMINISTRACIÓN PÚBLICA,1,2019,6.92,825,831
19941182,ROCIO TIMOTEO,KELLEY GREENE,rocio.kelley.g@usachi.cy,FEMENINO,5-10-1992,FACULTAD DE ADMINISTRACIÓN Y ECONOMÍA,ADMINISTRACIÓN PÚBLICA,1,2019,5.74,787,630
19316793,PILAR ANNA,GARAY MOLES,pilar.garay.m@usachi.cy,FEMENINO,1-6-1990,FACULTAD DE ADMINISTRACIÓN Y ECONOMÍA,ADMINISTRACIÓN PÚBLICA,2,2018,5.77,627,722
18519524,JAVIER CESARE,SHAW BRADFORD,javier.shaw.b@usachi.cy,MASCULINO,11-2-1990,FACULTAD DE ADMINISTRACIÓN Y ECONOMÍA,ADMINISTRACIÓN PÚBLICA,3,2018,5.28,773,645
19847727,FRANCISCO ANTÔNIO,FLORES MONTAÑA,francisco.flores.m@usachi.cy,MASCULINO,14-3-1990,FACULTAD DE ADMINISTRACIÓN Y ECONOMÍA,ADMINISTRACIÓN PÚBLICA,3,2018,6.87,719,839
18087839,JAMES JULIAN,MIMUN ARAGÃO,james.mimun.a@usachi.cy,MASCULINO,7-6-1992,FACULTAD DE ADMINISTRACIÓN Y ECONOMÍA,ADMINISTRACIÓN PÚBLICA,2,2018,6.55,796,562
19250892,MARIA LORETTA,HIGUERAS ALIGHIERI,maria.higueras.a@usachi.cy,FEMENINO,27-5-1992,FACULTAD DE ADMINISTRACIÓN Y ECONOMÍA,ADMINISTRACIÓN PÚBLICA,3,2018,5.24,688,630
20316771,BIANCA AMY,MCCLURE CORREIA,bianca.mcclure.c@usachi.cy,FEMENINO,30-9-1995,FACULTAD DE ADMINISTRACIÓN Y ECONOMÍA,ADMINISTRACIÓN PÚBLICA,3,2018,5.5,698,591
18649013,CLAUDIA ABEL,NIÑO CORDOVA,claudia.niño.c@usachi.cy,FEMENINO,16-10-1994,FACULTAD DE ADMINISTRACIÓN Y ECONOMÍA,ADMINISTRACIÓN PÚBLICA,2,2018,4.07,661,828
20237768,PHILIP VICENTE,SALGADO SALDIVAR,philip.salgado.s@usachi.cy,MASCULINO,9-5-1993,FACULTAD DE ADMINISTRACIÓN Y ECONOMÍA,ADMINISTRACIÓN PÚBLICA,3,2018,4.4,839,803
18233174,MILENA LAURA,QUINTERO PANTOJA,milena.quintero.p@usachi.cy,FEMENINO,22-8-1990,FACULTAD DE ADMINISTRACIÓN Y ECONOMÍA,ADMINISTRACIÓN PÚBLICA,3,2019,6.06,730,625
19561182,GUILLERMINA KARA,CABRERA ABATE,guillermina.cabrera.a@usachi.cy,FEMENINO,23-10-1990,FACULTAD DE ADMINISTRACIÓN Y ECONOMÍA,ADMINISTRACIÓN PÚBLICA,3,2019,5.15,552,825
20946829,HALEY JOSÉ EMILIO,CURCI PABLO,haley.curci.p@usachi.cy,FEMENINO,23-1-1992,FACULTAD DE ADMINISTRACIÓN Y ECONOMÍA,ADMINISTRACIÓN PÚBLICA,3,2018,4.97,665,675
18038865,RODRIGO ERIC,SARABIA GARCÍA,rodrigo.sarabia.g@usachi.cy,MASCULINO,10-3-1993,FACULTAD DE ADMINISTRACIÓN Y ECONOMÍA,ADMINISTRACIÓN PÚBLICA,3,2019,6.05,627,673
19651064,LARA LUZ,VISCONTI CARREÑO,lara.visconti.c@usachi.cy,FEMENINO,7-12-1996,FACULTAD DE ADMINISTRACIÓN Y ECONOMÍA,ADMINISTRACIÓN PÚBLICA,3,2018,5.98,688,578
19419703,MARIA SHERRY,GOMEZ TELESIO,maria.gomez.t@usachi.cy,FEMENINO,30-12-1995,FACULTAD DE ADMINISTRACIÓN Y ECONOMÍA,ADMINISTRACIÓN PÚBLICA,3,2019,4.24,771,603
19468252,NATHAN KARLA,LOPES GARMENDIA,nathan.lopes.g@usachi.cy,MASCULINO,5-8-1990,FACULTAD DE ADMINISTRACIÓN Y ECONOMÍA,ADMINISTRACIÓN PÚBLICA,3,2019,4.38,661,757
19702316,RAIMONDO JAQUELINE,PASTOR PAZ,raimondo.pastor.p@usachi.cy,MASCULINO,5-9-1999,FACULTAD DE ADMINISTRACIÓN Y ECONOMÍA,ADMINISTRACIÓN PÚBLICA,2,2018,5.4,736,718
18741217,FRANCISCO KEVIN,SANABRIA JOHNSON,francisco.sanabria.j@usachi.cy,MASCULINO,26-11-1995,FACULTAD DE ADMINISTRACIÓN Y ECONOMÍA,ADMINISTRACIÓN PÚBLICA,1,2017,4.83,644,823
19322720,CLAUDIA LÍVIA,RAMOS RODRIGUES,claudia.ramos.r@usachi.cy,FEMENINO,28-7-1998,FACULTAD DE ADMINISTRACIÓN Y ECONOMÍA,ADMINISTRACIÓN PÚBLICA,2,2019,4.69,770,597
18602704,SUSAN MARGARITA,ROSARIO NOGUÉS,susan.rosario.n@usachi.cy,FEMENINO,13-10-1993,FACULTAD DE ADMINISTRACIÓN Y ECONOMÍA,ADMINISTRACIÓN PÚBLICA,3,2019,6.81,572,771
20115058,HEATHER JENNY,DA COSTA BARNES,heather.da costa.b@usachi.cy,FEMENINO,6-10-1995,FACULTAD DE ADMINISTRACIÓN Y ECONOMÍA,ADMINISTRACIÓN PÚBLICA,2,2019,6.15,810,708
19879673,PAOLA ELSA,VILLAROSA VIANA,paola.villarosa.v@usachi.cy,FEMENINO,30-8-1991,FACULTAD DE ADMINISTRACIÓN Y ECONOMÍA,ADMINISTRACIÓN PÚBLICA,2,2019,6.55,814,844
19844772,JESÚS GREGORY,WATKINS TAYLOR,jesús.watkins.t@usachi.cy,MASCULINO,7-5-1994,FACULTAD DE ADMINISTRACIÓN Y ECONOMÍA,ADMINISTRACIÓN PÚBLICA,3,2019,6.58,703,771
19156577,HEATHER JULIA,SMITH REED,heather.smith.r@usachi.cy,FEMENINO,19-1-1994,FACULTAD DE ADMINISTRACIÓN Y ECONOMÍA,ADMINISTRACIÓN PÚBLICA,1,2018,4.24,676,810
19835545,DAVI LUIZ SEBASTIAN,PICHARDO RUSSO,davi luiz.pichardo.r@usachi.cy,MASCULINO,23-1-1999,FACULTAD DE ADMINISTRACIÓN Y ECONOMÍA,ADMINISTRACIÓN PÚBLICA,3,2018,5.29,819,805
18835864,JEFF LUIZ OTÁVIO,GARCIA BONILLA,jeff.garcia.b@usachi.cy,MASCULINO,15-9-1996,FACULTAD DE ADMINISTRACIÓN Y ECONOMÍA,ADMINISTRACIÓN PÚBLICA,1,2018,4.35,737,807
20949498,SHARON PATRICIO,FIELDS ANDREWS,sharon.fields.a@usachi.cy,FEMENINO,21-4-1990,FACULTAD DE ADMINISTRACIÓN Y ECONOMÍA,ADMINISTRACIÓN PÚBLICA,3,2017,6.42,715,768
19433714,ESTELA PATRICK,HERNANDES DICKERSON,estela.hernandes.d@usachi.cy,MASCULINO,22-2-1996,FACULTAD DE ADMINISTRACIÓN Y ECONOMÍA,ADMINISTRACIÓN PÚBLICA,3,2018,6.26,568,776
18851792,AARON JUAN,ALFARO MONTERO,aaron.alfaro.m@usachi.cy,MASCULINO,26-7-1994,FACULTAD DE ADMINISTRACIÓN Y ECONOMÍA,ADMINISTRACIÓN PÚBLICA,1,2019,6.14,761,819
18876146,GABRIEL PASQUALE,MALDONADO BARACCA,gabriel.maldonado.b@usachi.cy,MASCULINO,2-11-1994,FACULTAD DE ADMINISTRACIÓN Y ECONOMÍA,ADMINISTRACIÓN PÚBLICA,1,2018,4.98,849,681
19906574,DIEGO JOHN,MONTEMAYOR TENORIO,diego.montemayor.t@usachi.cy,MASCULINO,5-7-1993,FACULTAD DE ADMINISTRACIÓN Y ECONOMÍA,ADMINISTRACIÓN PÚBLICA,2,2018,5.6,790,590
18788173,LAUREN LETÍCIA,OPIZZI TERRAGNI,lauren.opizzi.t@usachi.cy,FEMENINO,11-2-1994,FACULTAD DE ADMINISTRACIÓN Y ECONOMÍA,ADMINISTRACIÓN PÚBLICA,1,2019,4.59,688,601
18857732,SHELBY ELSA,BARROS DA ROSA,shelby.barros.d@usachi.cy,FEMENINO,6-11-1996,FACULTAD DE ADMINISTRACIÓN Y ECONOMÍA,ADMINISTRACIÓN PÚBLICA,3,2019,6.9,743,581
20143735,ISABELLA JOSEFA,MOURA BRISEÑO,isabella.moura.b@usachi.cy,FEMENINO,1-8-1996,FACULTAD DE ADMINISTRACIÓN Y ECONOMÍA,ADMINISTRACIÓN PÚBLICA,1,2018,4.91,780,841
20687843,JOSEP BIAGIO,CACCIOPPOLI ROBLEDO,josep.caccioppoli.r@usachi.cy,MASCULINO,27-1-1997,FACULTAD DE ADMINISTRACIÓN Y ECONOMÍA,ADMINISTRACIÓN PÚBLICA,1,2019,4.48,846,692
19226670,AMPARO BRENDA,DA ROSA PÉREZ,amparo.da rosa.p@usachi.cy,FEMENINO,28-10-1993,FACULTAD DE ADMINISTRACIÓN Y ECONOMÍA,ADMINISTRACIÓN PÚBLICA,3,2017,5.54,795,620
20519977,JOYCE ALESSIA,PEDRAZA DA CUNHA,joyce.pedraza.d@usachi.cy,FEMENINO,10-6-1999,FACULTAD DE ADMINISTRACIÓN Y ECONOMÍA,ADMINISTRACIÓN PÚBLICA,3,2019,5.74,754,832
20621588,GABRIEL ATENULF,TREJO BENNETT,gabriel.trejo.b@usachi.cy,MASCULINO,17-2-1999,FACULTAD DE ADMINISTRACIÓN Y ECONOMÍA,ADMINISTRACIÓN PÚBLICA,3,2019,6.14,695,594
19382577,LORENZO FERNANDO,FUENTES WADE,lorenzo.fuentes.w@usachi.cy,MASCULINO,30-1-1999,FACULTAD DE ADMINISTRACIÓN Y ECONOMÍA,ADMINISTRACIÓN PÚBLICA,2,2019,4.52,679,810
18175367,BEGOÑA ADRIANA,BAILEY CUESTA,begoña.bailey.c@usachi.cy,FEMENINO,2-7-1997,FACULTAD DE ADMINISTRACIÓN Y ECONOMÍA,ADMINISTRACIÓN PÚBLICA,2,2018,6.37,646,714
18417189,CAUÃ TEMISTOCLE,GOMEZ SALDIVAR,cauã.gomez.s@usachi.cy,MASCULINO,30-8-1997,FACULTAD DE ADMINISTRACIÓN Y ECONOMÍA,ADMINISTRACIÓN PÚBLICA,2,2018,5.44,601,573
20734523,PABLO ABEL,MARTINEZ LOPES,pablo.martinez.l@usachi.cy,MASCULINO,7-5-1994,FACULTAD DE ADMINISTRACIÓN Y ECONOMÍA,ADMINISTRACIÓN PÚBLICA,1,2019,5.59,789,754
